text,label
မိုက်ရိုင်းလိုက်တာ လူစိတ်ကောရှိကြသေးလား။, 3

ပညာမတတ်သူက..ခုစာမေးပွဲ ဘယ်သိမလဲ, 3

လူအများကြောက်ရွံ့စိတ်ဝင်အောင်အဲ့လိုမလုပ်ပါနဲ့, 3 

သူခိုးကို လွှတ်တော်အမတ်ခန့်မှတော့ ဒီတိုင်းပြည်မှမမွဲရင် ဘယ်တိုင်းပြည်ကမွဲဦးမှာလည်း, 3

ဘာကောင်တက်တက်တိုင်းပြည်ကောင်းလာစရာတစ်ကွက်မှမတွေ့, 3

အန်ကယ်ကတော့  နိုးပါ စိတ်လည်းမဝင်စားပါ, 3

နင်တို့မို့ အရှက်မရှိဟယ် လူပေါင်းများစွာသတ်ပြီးမှ ရလာတဲ့ ဒီနေရာ ပျော်နိူင်ကြလား, 3

ဦးနှောက် ပျက်နေသူတွေဦးဆောင်နေတိုင်းဘာဖြစ်နေလဲ ပရိတ်သတ်တို့, 4

ခိုးကြအုံးတော့မဲ့ ပြည်သူ့ဘဏ္ဍာတွေ! ကမ္ဘာ့ဂုဏ်သိက္ခာအရှက်မဲ့​တေ ရွံစရာကောင်းတယ်, 3

ကျက်သရေတုံးလိုက်တာရုပ်က, 3

လူယုတ်မာတွေ ချည်းပဲ..ငလျင်တုန်းကလွတ်တော်ပါပြိုပြားသွားရမှာ..ဒါမှခွေးတွေတက်မရအောင်.., 3

ဘယ်သူမှစိတ်မဝင်စားဘူး, 3

သေစမ်းခွေးမျိုးတွေ, 3

ဒီလောက်ရှင်းနေတာကိုတောင်မယုံကြရင်အဲ့ကောင်ဘောကွယ်နေလို့ပဲဖြစ်မယ်, 3

အေအေကအစောင့်လုံခြုံရေးတွေ တယောက်မှမသေတာ ထူးဆန်းပါ့, 5

ငါတစ်ယောက်ထဲပဲထမင်းမစားတာလားမသိ, 5

မြင်ရတာပီတိဖြစ်တယ်, 1

ဗမာအချင်းချင်းပေါ်တောင် ယုတ်မာတဲ့စစ်တပ်, 3

ခိုးရာပါတိုက်ရာပါစားနေတဲ့ တပ်မိသားစုဝင် တပ်ထောက်ခံသူတွေရဲ့မန့်တွေကြည့်ပြီးပါ အားရလိုက်တာ, 1

သံတိုင်တောင်မကွေးပဲလူရာချီသေတဲ့ဗုံးအဘတို့ထုတ်နိူင်ပြီလေးစားအဘရေ, 1

